,RMSE_train,loglike,test_ARI,RMSE_test,train_ARI,RMSE_train_std,loglike_std,test_ARI_std,RMSE_test_std,train_ARI_std,method,missing_rate
0,0.0,-2.786139125787666,0.37918771814458474,0.0,0.3865723792023013,0.0,0.0,0.0,0.0,0.0,Gibbs+MNAR,0.0
1,0.0,-2.785102621274329,0.35385823454356985,0.0,0.39678766082366757,0.0,0.0,0.0,0.0,0.0,Gibbs+MCAR,0.0
2,0.40595786632450337,-2.79205341094057,0.31492965779893156,0.4211896988241229,0.3706525361872392,0.0,0.0,0.0,0.0,0.0,Gibbs+MNAR,0.1
3,0.4062799607481252,-2.7881019858114624,0.3893985217500517,0.4210722654867262,0.4137863993571508,0.0,0.0,0.0,0.0,0.0,Gibbs+MCAR,0.1
4,0.42100375178530014,-2.7913967415032412,0.32718157855386354,0.4108562387013966,0.3311278924570704,0.0,0.0,0.0,0.0,0.0,Gibbs+MNAR,0.2
5,0.4236927541166292,-2.785008719198726,0.32516596990304686,0.4146206968074361,0.30669120496514646,0.0,0.0,0.0,0.0,0.0,Gibbs+MCAR,0.2
6,0.4185295804661799,-2.792638390742076,0.2973997601064902,0.41675039247868695,0.3080406695821178,0.0,0.0,0.0,0.0,0.0,Gibbs+MNAR,0.3
7,0.4197086145395439,-2.7966672576715492,0.34301572809708836,0.4215924914958008,0.2985994624297105,0.0,0.0,0.0,0.0,0.0,Gibbs+MCAR,0.3
8,0.42988829369646775,-2.7993044609426,0.23734429914171298,0.426850072427505,0.2541125165366794,0.0,0.0,0.0,0.0,0.0,Gibbs+MNAR,0.4
9,0.4298913934391072,-2.79461138017663,0.2683880689115667,0.4269215996407408,0.25246397557994915,0.0,0.0,0.0,0.0,0.0,Gibbs+MCAR,0.4
10,0.43648175092859526,-2.8112173969933383,0.19689984404467403,0.44218633021281295,0.18572953144801066,0.0,0.0,0.0,0.0,0.0,Gibbs+MNAR,0.5
11,0.4384792154194961,-2.8317389935098105,0.17591796247676958,0.44444618001590436,0.18764179866098707,0.0,0.0,0.0,0.0,0.0,Gibbs+MCAR,0.5
12,0.44678026091988154,-2.868577100890031,0.1424307241916701,0.4469621373000097,0.1678565219393794,0.0,0.0,0.0,0.0,0.0,Gibbs+MNAR,0.6
13,0.4468903396689122,-2.844401276303509,0.15935788639707363,0.44754469206389397,0.16473460926568895,0.0,0.0,0.0,0.0,0.0,Gibbs+MCAR,0.6
14,0.45128200200279633,-2.888778791633401,0.07468907116410656,0.4579557742079402,0.09848010338578668,0.0,0.0,0.0,0.0,0.0,Gibbs+MNAR,0.7
15,0.4580769525184072,-2.888076157504375,0.1007381889762418,0.4640767230383848,0.10259225530095425,0.0,0.0,0.0,0.0,0.0,Gibbs+MCAR,0.7
16,0.47239838662281985,-2.8936282165143576,0.05025129677766415,0.4772768820768198,0.04882222831416428,0.0,0.0,0.0,0.0,0.0,Gibbs+MNAR,0.8
17,0.46279511222637554,-2.8671188106153647,0.04808070245574989,0.46806448966691133,0.047615821176981224,0.0,0.0,0.0,0.0,0.0,Gibbs+MCAR,0.8
18,0.47182628324522197,-2.983659947453204,0.009847329820420478,0.4748486274143657,0.012794218057947115,0.0,0.0,0.0,0.0,0.0,Gibbs+MNAR,0.9
19,0.47593469930280424,-3.088409975354828,0.0013011256995154354,0.47981184153775824,0.014732176357141033,0.0,0.0,0.0,0.0,0.0,Gibbs+MCAR,0.9
