,loglike,train_ARI,RMSE_test,RMSE_train,test_ARI,loglike_std,train_ARI_std,RMSE_test_std,RMSE_train_std,test_ARI_std,method,missing_rate
0,-7.582128631473376,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Gibbs+MNAR,0.0
1,-7.567441129615887,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Gibbs+MCAR,0.0
2,-7.591249234177937,0.9949958125176231,2.011037823932918,2.2064356077562177,1.0,0.0,0.0,0.0,0.0,0.0,Gibbs+MNAR,0.1
3,-7.65137132790284,0.9900166666666667,2.0254597852363934,2.2015480933391993,1.0,0.0,0.0,0.0,0.0,0.0,Gibbs+MCAR,0.1
4,-7.633298981303071,0.9602944256667775,6.748123450254512,8.38606404601178,0.97993200471804,0.0,0.0,0.0,0.0,0.0,Gibbs+MNAR,0.2
5,-7.884523463262652,0.9067954558533354,6.783067615659134,8.311597054106814,0.97993200471804,0.0,0.0,0.0,0.0,0.0,Gibbs+MCAR,0.2
6,-7.697794992990407,0.9119181574157053,9.164332891283134,9.459683780793823,0.9602776916338867,0.0,0.0,0.0,0.0,0.0,Gibbs+MNAR,0.3
7,-7.788961982649765,0.8649633255258523,7.319274621258059,7.9702872844531925,0.9602776916338867,0.0,0.0,0.0,0.0,0.0,Gibbs+MCAR,0.3
8,-9.139839557721897,0.49138449016795044,10.416658201860491,11.657521382538366,0.49666382957217303,0.0,0.0,0.0,0.0,0.0,Gibbs+MNAR,0.4
9,-7.940649378771419,0.7645391465819718,10.085582663953998,11.291187526023784,0.8804158739341397,0.0,0.0,0.0,0.0,0.0,Gibbs+MCAR,0.4
10,-8.212120851361624,0.6311008410176522,11.877691464420794,14.20087039375702,0.8422113114729647,0.0,0.0,0.0,0.0,0.0,Gibbs+MNAR,0.5
11,-8.443240286160203,0.6049783581731606,11.949168396909714,14.07310222590351,0.8422113114729647,0.0,0.0,0.0,0.0,0.0,Gibbs+MCAR,0.5
12,-8.295840716566872,0.4698130858905897,15.83957530273207,17.158665220503583,0.6573007775025991,0.0,0.0,0.0,0.0,0.0,Gibbs+MNAR,0.6
13,-8.278413173964069,0.5034600296517762,15.63351589356164,17.093031001601506,0.6573007775025991,0.0,0.0,0.0,0.0,0.0,Gibbs+MCAR,0.6
14,-8.834748634847609,0.24886361491480766,20.842530893536978,20.470578190454756,0.3575221870219138,0.0,0.0,0.0,0.0,0.0,Gibbs+MNAR,0.7
15,-9.801989717009596,0.18700030560732878,20.668735830955203,20.476104214851276,0.3141956009613279,0.0,0.0,0.0,0.0,0.0,Gibbs+MCAR,0.7
16,-10.31941735745143,0.11750980656037403,22.923960027002103,23.559193676568025,0.11870024017672323,0.0,0.0,0.0,0.0,0.0,Gibbs+MNAR,0.8
17,-10.850242626800387,0.07495776057558536,24.142746880658308,23.90917493016247,0.11084382185244747,0.0,0.0,0.0,0.0,0.0,Gibbs+MCAR,0.8
18,-826.072069985936,0.0022459851922283667,30.138580581949107,30.669408808577497,0.006394102539032726,0.0,0.0,0.0,0.0,0.0,Gibbs+MNAR,0.9
19,-544.181834273089,0.003640665920524369,27.765362725820058,27.630038135371983,0.0017320220827999034,0.0,0.0,0.0,0.0,0.0,Gibbs+MCAR,0.9
