,test_ARI,train_ARI,loglike,test_ARI_std,train_ARI_std,loglike_std,method,missing_rate,RMSE_test,RMSE_train,RMSE_test_std,RMSE_train_std
0,1.0,1.0,0.0,0.0,0.0,0.0,KMeans+CC,0.0,,,,
1,1.0,1.0,0.0,0.0,0.0,0.0,KMeans+mean,0.0,,,,
2,1.0,1.0,0.0,0.0,0.0,0.0,KMeans+mode,0.0,,,,
3,1.0,1.0,0.0,0.0,0.0,0.0,KMeans+median,0.0,,,,
4,1.0,1.0,-7.546935011374354,0.0,0.0,8.881784197001252e-16,EM+CC,0.0,0.0,0.0,0.0,0.0
5,0.5127937279993036,0.5066162148299791,0.0,0.0,0.0,0.0,KMeans+CC,0.1,,,,
6,0.8859501978730681,0.8721747583992553,0.0,0.0,1.1102230246251565e-16,0.0,KMeans+mean,0.1,,,,
7,0.7238031606093075,0.7020412502555773,0.0,0.0,0.0,0.0,KMeans+mode,0.1,,,,
8,0.8859501978730681,0.8669389321548898,0.0,0.0,0.0,0.0,KMeans+median,0.1,,,,
9,0.8975994043190774,0.4466954265774065,-7.866756513442911,0.2057117633832129,0.1096285537890534,0.6228293319545608,EM+CC,0.1,2.4381133987177903,2.469641949325716,0.8456215732603659,0.5292530232168772
10,0.314587515845942,0.3352519057561924,0.0,5.551115123125783e-17,5.551115123125783e-17,0.0,KMeans+CC,0.2,,,,
11,0.7659739410261277,0.8056990349686354,0.0,1.1102230246251565e-16,0.0,0.0,KMeans+mean,0.2,,,,
12,0.559745472027311,0.5680693745670444,0.0,0.0,0.0,0.0,KMeans+mode,0.2,,,,
13,0.7026426755077735,0.6868964758315222,0.0,0.0,1.1102230246251565e-16,0.0,KMeans+median,0.2,,,,
14,0.8924599970311757,0.24277903384949756,-7.872449580888349,0.17494481070716394,0.04991686149401376,0.6114417828644966,EM+CC,0.2,7.052696654729094,8.228434937309363,0.3886028478680502,0.20795535626047448
15,0.1629088318972138,0.12928360015260446,0.0,0.0,2.7755575615628914e-17,0.0,KMeans+CC,0.3,,,,
16,0.5988235902371511,0.6891482181537618,0.0,0.0,1.1102230246251565e-16,0.0,KMeans+mean,0.3,,,,
17,0.4443675654800935,0.4439698901081077,0.0,0.0,0.0,0.0,KMeans+mode,0.3,,,,
18,0.49342582535008017,0.5401107646659893,0.0,0.0,1.1102230246251565e-16,0.0,KMeans+median,0.3,,,,
19,1.0,0.09518670477944283,-7.597238837238391,0.0,0.0,8.881784197001252e-16,EM+CC,0.3,6.6011614680634905,7.913319104381117,5.617333549722722e-16,7.431033801933001e-16
20,0.032072730833891,0.07643516262936645,0.0,0.0,0.0,0.0,KMeans+CC,0.4,,,,
21,0.47800700661736084,0.5426101316025636,0.0,0.0,0.0,0.0,KMeans+mean,0.4,,,,
22,0.2916463462304505,0.3757765777090915,0.0,0.0,5.551115123125783e-17,0.0,KMeans+mode,0.4,,,,
23,0.2916463462304505,0.3757765777090915,0.0,0.0,5.551115123125783e-17,0.0,KMeans+median,0.4,,,,
24,0.831678198560053,0.03971093148295581,-7.985587155911709,0.17639438667956636,0.01103845262151905,0.6530168512759934,EM+CC,0.4,9.851305769998856,11.656123233771934,0.715151257948228,0.8204011002986589
25,-0.0015063367924797156,0.006382491288606035,0.0,2.168404344971009e-19,8.673617379884035e-19,0.0,KMeans+CC,0.5,,,,
26,0.4449871534612466,0.4287957401416939,0.0,0.0,0.0,0.0,KMeans+mean,0.5,,,,
27,0.24600644045749456,0.22840353087284798,0.0,0.0,2.7755575615628914e-17,0.0,KMeans+mode,0.5,,,,
28,0.4449871534612466,0.4287957401416939,0.0,0.0,0.0,0.0,KMeans+median,0.5,,,,
29,0.5347480018605036,0.0058204217389645875,-9.436110007066095,0.17956750050442608,0.0021326585368917216,0.8706928601450078,EM+CC,0.5,12.755789180601441,14.791340068726143,0.7868313976917394,0.6850888641241749
30,-0.004311870253383395,0.003941482000497846,0.0,0.0,8.673617379884035e-19,0.0,KMeans+CC,0.6,,,,
31,0.40363093789788207,0.2607413266219912,0.0,5.551115123125783e-17,0.0,0.0,KMeans+mean,0.6,,,,
32,0.0835365389641972,0.1390510691430451,0.0,0.0,0.0,0.0,KMeans+mode,0.6,,,,
33,0.0835365389641972,0.1390510691430451,0.0,0.0,0.0,0.0,KMeans+median,0.6,,,,
