,loglike,train_ARI,loglike_std,train_ARI_std,method,missing_rate
0,-2.9174569727169515,0.35990937461799605,0.0,0.0,Gibbs,0.0
1,-2.918914583112461,0.4009935013560283,0.001997991684349658,0.03983683508576461,VBEM,0.0
2,-2.9126018701495453,0.36837756668225907,0.0017509419787346391,0.029672993760333787,EM,0.0
3,-2.91228402037497,0.4049528736428723,0.0016067778844559987,0.029318317472090027,EM+mean,0.0
4,-2.913069537872849,0.40849452116425383,0.003970959117993947,0.04310922367144986,EM+median,0.0
5,-2.913422031877098,0.4113162186354713,0.004714440289675434,0.028199267862010484,EM+mode,0.0
6,-2.9178265058294928,0.34311642054207614,0.0,0.0,Gibbs,0.1
7,-2.9206383309395516,0.3481674455748926,0.00240761093491964,0.025819907045218384,VBEM,0.1
8,-2.9320933066240746,0.3351247928904689,0.00021969745888853438,0.01148274146910314,EM,0.1
9,-2.9445811763984104,0.3307655625742389,0.0025550286643597343,0.023980095666176402,EM+mean,0.1
10,-2.942312092322313,0.3360544048714492,0.0030634498156716125,0.016865757820811168,EM+median,0.1
11,-2.943160147706723,0.3363205698102304,0.0031076546171433586,0.015355711079558847,EM+mode,0.1
12,-2.927404474536348,0.3144893501885036,0.0,0.0,Gibbs,0.2
13,-2.9259290120248176,0.32992781706051966,0.0014132684235147858,0.006618789427923443,VBEM,0.2
14,-2.973892258176082,0.2823153104319647,0.0016324809064727187,0.004124121061369673,EM,0.2
15,-3.018672264941272,0.28945579272989824,0.002338677640683789,0.011662987775482546,EM+mean,0.2
16,-3.0173466104954247,0.27372669103094704,0.0019017684763188024,0.014429912900803385,EM+median,0.2
17,-3.0166349153301124,0.28788247988522536,0.0011299827457464438,0.014567850403452577,EM+mode,0.2
18,-2.9278209527062646,0.2862229824127027,0.0,0.0,Gibbs,0.3
19,-2.9255315147616257,0.2773394405696098,0.0013023576052069408,0.015573164200445763,VBEM,0.3
20,-3.0603105116962235,0.25153832715678326,0.0008007456111214116,0.003879588916112952,EM,0.3
21,-3.131556125223043,0.24232907410172463,0.002087070258779962,0.006962148253078575,EM+mean,0.3
22,-3.1308521527730138,0.24391963128946723,0.00209202598899684,0.006907279736928819,EM+median,0.3
23,-3.1313516896339024,0.24224774344504624,0.0022036408038353574,0.008903465919543878,EM+mode,0.3
24,-2.9618976631675507,0.26023515808788106,0.0,0.0,Gibbs,0.4
25,-2.9319721269109573,0.2627898516374342,0.0015147885404277496,0.013193321981312728,VBEM,0.4
26,-3.3605739178893126,0.20722216377129737,0.0066435952035974214,0.03635325569103279,EM,0.4
27,-3.3135589114002273,0.21566810072659423,0.005395397396159066,0.014029220906164508,EM+mean,0.4
28,-3.3137994854052932,0.2272262492599689,0.002141635354801976,0.01013339239260299,EM+median,0.4
29,-3.3176940936091497,0.21878933875581502,0.0068470110135539905,0.015010695593751395,EM+mode,0.4
30,-2.940743941092959,0.21509256462310772,0.0,0.0,Gibbs,0.5
31,-2.943673710388777,0.20936882394031833,0.0014646144837205007,0.009651917637819894,VBEM,0.5
32,-3.3692705688822464,0.09201273711856958,0.004254598887691931,0.06699999776326045,EM,0.5
33,-3.4799756974677947,0.17319966205908366,0.008033623251697724,0.009644880345224848,EM+mean,0.5
34,-3.4847266770788736,0.17355553776240848,0.013069933313056902,0.006488526957165003,EM+median,0.5
35,-3.491181532332098,0.16754924397032195,0.01303938133743131,0.011197900041538703,EM+mode,0.5
36,-2.9996640047967515,0.1573127631682764,0.0,0.0,Gibbs,0.6
37,-2.9535262128413735,0.16684295699088098,0.0021715261434799753,0.008867396705324456,VBEM,0.6
38,-3.3718433031114685,0.032581005392247876,0.0007037755020832152,0.04968748697687675,EM,0.6
39,-3.866808631136567,0.13526219812630655,0.01553164309675636,0.008245875730228641,EM+mean,0.6
40,-3.899233390678772,0.12261609439474966,0.11620602640918558,0.03430021995857015,EM+median,0.6
41,-3.849671639087405,0.13788631902818022,0.014480831857559714,0.005821245755603239,EM+mode,0.6
42,-2.9679120151288214,0.12140102608388696,0.0,0.0,Gibbs,0.7
43,-2.9453128926370016,0.1081778107193632,0.005603521233172215,0.01797546871256846,VBEM,0.7
44,-3.377726063373358,0.0,0.00047484191413539405,0.0,EM,0.7
45,-4.302320530899613,0.09478259427714612,0.11701057676739156,0.018074505298525053,EM+mean,0.7
46,-4.375902070399737,0.0903048812427428,0.17890775316137245,0.02305087307100038,EM+median,0.7
47,-4.338927428208579,0.09178558519809302,0.15552433799786836,0.020688816518442624,EM+mode,0.7
48,-3.0027526939538784,0.05237982762581276,0.0,0.0,Gibbs,0.8
49,-2.9626959415487892,0.054022603238736575,0.004426809384852868,0.009462749092821432,VBEM,0.8
50,-3.3764431887958963,0.0,0.0013285477036948856,0.0,EM,0.8
51,-5.048542389055917,0.03597986147477243,0.20754220030132076,0.021012334910928132,EM+mean,0.8
52,-4.901521102375826,0.049402489925219076,0.04221428695837703,0.003396268959862658,EM+median,0.8
53,-4.954516130800131,0.04719962568605153,0.14340149458370377,0.008879842032824072,EM+mode,0.8
54,-3.1544006407874092,0.023007908600728207,0.0,0.0,Gibbs,0.9
55,-3.396373391997804,0.011582912486196147,0.0020558576060731924,0.008276402856531206,VBEM,0.9
56,-3.397682177491684,0.0,0.0063094442022703775,0.0,EM,0.9
57,-7.028756348915024,0.018116875405449033,0.013405849648104902,0.003165387565194487,EM+mean,0.9
58,-7.025686750148441,0.015554372311604215,0.012083678007913398,0.00542681531555423,EM+median,0.9
59,-7.031070875712629,0.015882153609711014,0.01515048349963093,0.004340969577456072,EM+mode,0.9
