,loglike,train_ARI,loglike_std,train_ARI_std,method,missing_rate
0,-3.084160770930838,0.47436757449817984,0.0,0.0,Gibbs,0.0
1,-3.0850644187152927,0.43535642909653066,0.0005104689868710184,0.018572120060343256,VBEM,0.0
2,-3.08004816338934,0.47417122599377937,0.0015987535810162191,0.010091972389957777,EM,0.0
3,-3.079102759579796,0.4713791302678329,0.0012378473286050844,0.02754193713313047,EM+mean,0.0
4,-3.0807197087374583,0.46371435251948345,0.0009251384502362253,0.014724764905610326,EM+median,0.0
5,-3.079838536323031,0.47368775146099934,0.0015690135318306197,0.025367552496594992,EM+mode,0.0
6,-3.086607585104887,0.43470280341708534,0.0,0.0,Gibbs,0.1
7,-3.0868806309709536,0.41728808884339125,0.0009192222621206486,0.02572334298665194,VBEM,0.1
8,-3.1129569105701824,0.35550299842689304,0.0005805658422566937,0.00497181572453967,EM,0.1
9,-3.110733278026476,0.3386784239100396,0.0015574972356453265,0.012604259903627095,EM+mean,0.1
10,-3.1097716896301018,0.3340936329745944,0.001208118612341843,0.017870776053795025,EM+median,0.1
11,-3.1108977346218376,0.3335634169063772,0.0020347671545415894,0.016170039507886067,EM+mode,0.1
12,-3.0940899302493263,0.39344369894742964,0.0,0.0,Gibbs,0.2
13,-3.0887160955618196,0.3650252741830269,0.0010983608789540671,0.019551355623329502,VBEM,0.2
14,-3.228328756175555,0.17762203817451072,0.002898812578543812,0.007998941070872866,EM,0.2
15,-3.1880479606806196,0.2879490724227447,0.0013080862930610806,0.01608766210129175,EM+mean,0.2
16,-3.1883016870758984,0.2936086212851202,0.0013272776406464879,0.007827206517712688,EM+median,0.2
17,-3.1883542830933456,0.28997696872465695,0.0012508698762649496,0.018008172475090112,EM+mode,0.2
18,-3.0951380475878576,0.3508608530967568,0.0,0.0,Gibbs,0.3
19,-3.091781592087428,0.32085206851698717,0.000650107961629034,0.01584518480900772,VBEM,0.3
20,-3.3365545720401686,0.14805273370964628,0.002416336448123732,0.03158805892120532,EM,0.3
21,-3.2876057824574128,0.24227220669226607,0.0027355687871071957,0.013574846458983478,EM+mean,0.3
22,-3.288821762776216,0.24457598046813503,0.0018108908510989974,0.012156838553466432,EM+median,0.3
23,-3.286604331045358,0.24537099912242194,0.0013319567559665834,0.016569761614754343,EM+mode,0.3
24,-3.098731879179692,0.25373035029174984,0.0,0.0,Gibbs,0.4
25,-3.0942929147522213,0.24568288776998431,0.0007431676648999291,0.010066558323368828,VBEM,0.4
26,-3.3401113534873956,0.08305266784583472,0.00034897471443473777,0.03177476966588846,EM,0.4
27,-3.5172763283693116,0.16869460299649003,0.008580521805912672,0.0192384044857806,EM+mean,0.4
28,-3.518124156704321,0.17363383065792296,0.007819425324906776,0.021486329324566983,EM+median,0.4
29,-3.5299956186738717,0.17746754320676483,0.04593421916269102,0.030612088267535417,EM+mode,0.4
30,-3.0971828954287095,0.21564896849514525,0.0,0.0,Gibbs,0.5
31,-3.100088589419772,0.2007228235913847,0.0005179318832124379,0.00727465434556951,VBEM,0.5
32,-3.341537676743652,0.048828712001906485,0.0004092611399317305,0.03658146029282377,EM,0.5
33,-3.7068934924351944,0.14992393138031573,0.004202461536063247,0.010896854094714912,EM+mean,0.5
34,-3.711333064459958,0.14286971285481723,0.00935389053011416,0.01784739571587894,EM+median,0.5
35,-3.7080817553155354,0.14946047494193812,0.00593501018788937,0.009517464894098403,EM+mode,0.5
36,-3.113524673801265,0.1531830684018854,0.0,0.0,Gibbs,0.6
37,-3.1199205443113387,0.1324195884031623,0.003974927635153475,0.007698971317264735,VBEM,0.6
38,-3.344654144196027,0.009736580926213257,0.00029340300590597804,0.02920974277863977,EM,0.6
39,-4.076033717936209,0.07944997423758798,0.02945591895688344,0.0193908045005715,EM+mean,0.6
40,-4.096095675254406,0.06911266707690027,0.02941081959319406,0.020125395408549743,EM+median,0.6
41,-4.0825056970415305,0.07813040035274318,0.03029929651004715,0.019415766606006357,EM+mode,0.6
42,-3.1906241855571196,0.08346345375432661,0.0,0.0,Gibbs,0.7
43,-3.1521734586005064,0.07674458512597788,0.011602125862739798,0.005645276355643053,VBEM,0.7
44,-3.3411900055712977,0.0,0.0002536359716520463,0.0,EM,0.7
45,-4.61879069504653,0.030652720633845144,0.001446164680344281,0.012459702510342062,EM+mean,0.7
46,-4.616680666020824,0.029304953148399863,0.008140288683926064,0.011571018151335643,EM+median,0.7
47,-4.614236696832835,0.03479918009807938,0.008116097110741368,0.010162259061177459,EM+mode,0.7
48,-3.2762903331619473,0.027113536204540527,0.0,0.0,Gibbs,0.8
49,-3.289670978520782,0.03167612815386122,0.014636814932343492,0.0028916659756978444,VBEM,0.8
50,-3.3460687593792473,0.0,0.0010383586585597055,0.0,EM,0.8
51,-5.177098036252831,0.017388834451178965,0.002151287479559161,0.004463126839348991,EM+mean,0.8
52,-5.17735992628249,0.014961968507208318,0.0033341174858818393,0.00484577490103792,EM+median,0.8
53,-5.17636583767354,0.013594696487450977,0.0024577522805714087,0.005817644225534027,EM+mode,0.8
54,-3.3958676910797405,0.003406382012655092,0.0,0.0,Gibbs,0.9
55,-3.3554750163343576,0.001281607128131954,6.162684237971538e-05,0.0013698373276546164,VBEM,0.9
56,-3.344581752906258,0.0,0.0019186167327917166,0.0,EM,0.9
57,-6.684436890634748,0.002155040362217908,0.010094866246346434,0.0004461192916804682,EM+mean,0.9
58,-6.688081946022747,0.0025617013215515063,0.013300961311212361,0.0006609392951903167,EM+median,0.9
59,-6.690288608437281,0.0025601526879255308,0.016039654474480105,0.0006684661334868306,EM+mode,0.9
