,loglike,RMSE_test,test_ARI,train_ARI,RMSE_train,loglike_std,RMSE_test_std,test_ARI_std,train_ARI_std,RMSE_train_std,method,missing_rate
0,-7.554768912356088,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Gibbs,0.0
1,-4.930300593326287,0.0,0.9568115942028985,0.9565738898806261,0.0,0.43496552176147907,0.0,0.12956521739130436,0.13027833035812159,0.0,VBEM,0.0
2,-7.735360442411789,0.0,0.9465107385790563,0.9493289877961193,0.0,0.5652762922095932,0.0,0.1604677842628311,0.1520130366116422,0.0,EM,0.0
3,-7.735273922354219,0.0,0.9507348766273701,0.9549365884426905,0.0,0.5650167320368849,0.0,0.14779537011788954,0.13519023467192848,0.0,EM+mean,0.0
4,-7.702866760299036,0.0,0.9548971320096455,0.9521826850597398,0.0,0.4677952458713348,0.0,0.13530860397106356,0.14345194482078055,0.0,EM+median,0.0
5,-7.691452805110794,0.0,0.9548971320096455,0.9553935875284397,0.0,0.4335533803066086,0.0,0.13530860397106356,0.13381923741468088,0.0,EM+mode,0.0
6,-7.004549887500086,27.247529627809417,1.0,1.0,45.997663159194104,0.0,0.0,0.0,0.0,0.0,Gibbs,0.1
7,-4.763154039280866,2.2582832851912977,0.911674288750827,0.9089965462921361,2.3774658007944303,0.5506998652091958,0.4677755872363725,0.17665142249834592,0.18203125597003061,0.35002633481826656,VBEM,0.1
8,-7.119773048799142,2.1408700350337213,0.9568115942028985,0.9544883429076325,2.289837313146006,0.41298906724389667,0.3515420531133316,0.12956521739130436,0.13653497127710224,0.2628117901241364,EM,0.1
9,-10.829374307763825,28.104590527948318,0.40090516678875243,0.4504557142385461,28.05285292611729,0.3344819856177032,0.0,0.11755035963421633,0.13504290722426113,3.552713678800501e-15,EM+mean,0.1
10,-10.329674517504873,28.629030260946923,0.4120525553032198,0.4406879496584593,31.50045232993914,0.15985071726646413,0.0,0.03055145002392305,0.01585850308550408,0.0,EM+median,0.1
11,-10.778438284819718,40.02570487286863,0.49688837236053907,0.45980046255555845,47.234801239034496,0.11860514065836218,0.0,0.10684529020268668,0.08038861338202821,7.105427357601002e-15,EM+mode,0.1
12,-6.440912564239528,44.12840413450161,1.0,0.9751295644672853,45.73028643818281,0.0,0.0,0.0,0.0,0.0,Gibbs,0.2
13,-4.600897739699435,7.150468080452599,0.8621669190816992,0.8362998834061839,8.410290624235975,0.6663049479439738,0.6951612435247713,0.21055805489632437,0.19686594894478127,0.25422123097384614,VBEM,0.2
14,-7.364335656926177,7.2932177387233725,0.8223734961733296,0.8022631604903756,8.291967323856593,0.5272569298563381,0.5192512050771064,0.21768354257227682,0.20554657981744368,0.3376526426486722,EM,0.2
15,-11.608333954173299,28.48358331590841,0.3095150901441666,0.3168843356201758,26.58969447767253,0.08399839174819072,3.552713678800501e-15,0.058435404844134516,0.022000591274129417,3.552713678800501e-15,EM+mean,0.2
16,-10.728115651528892,30.407926759769065,0.44389425623045825,0.45347830269600786,28.318461532908394,0.2315553017921102,3.552713678800501e-15,0.13443822254687973,0.14004938876210055,0.0,EM+median,0.2
